,rank,finalWorth,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,gender,birthDate
1457,1434,2100000000,Jane Goldman,67.0,United States,New York,Real estate,Real Estate,United States,False,F,1955-07-29 00:00:00
1458,1434,2100000000,Stein Erik Hagen,66.0,Norway,Oslo,Consumer goods,Fashion & Retail,Norway,True,M,1956-07-22 00:00:00
1459,1434,2100000000,Bahaa Hariri,56.0,Switzerland,Geneva,"Real estate, investments",Real Estate,Lebanon,False,M,1966-04-26 00:00:00
1460,1434,2100000000,Hortensia Herrero,72.0,Spain,Valencia,Supermarkets,Fashion & Retail,Spain,False,F,1950-05-20 00:00:00
1461,1434,2100000000,Douglas Hsu,80.0,Taiwan,Taipei,Diversified,Diversified,Taiwan,False,M,1942-08-24 00:00:00
1462,1434,2100000000,Huang Min,49.0,China,Suzhou,Machinery,Manufacturing,China,True,M,1973-07-01 00:00:00
1463,1434,2100000000,Jared Isaacman,40.0,United States,Easton,Payment processing,Technology,United States,True,M,1983-02-11 00:00:00
1464,1434,2100000000,Eugene Kaspersky,57.0,Russia,Moscow,Software,Technology,Russia,True,M,1965-10-04 00:00:00
1465,1434,2100000000,Artem Khachatryan,48.0,Cyprus,Limassol,Retail,Fashion & Retail,Russia,True,M,1975-01-03 00:00:00
1466,1434,2100000000,Andrei Krivenko,47.0,Russia,Moscow,Retail,Food & Beverage,Russia,True,M,1975-07-25 00:00:00
1467,1434,2100000000,Thomas Kwok,71.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,False,M,1951-10-06 00:00:00
1468,1434,2100000000,Lam Wai-ying,,Hong Kong,Hong Kong,Smartphone screens,Manufacturing,Hong Kong,True,F,
1469,1434,2100000000,Marc Lasry,62.0,United States,New York,Hedge funds,Finance & Investments,United States,True,M,1960-09-23 00:00:00
1470,1434,2100000000,Christian Latouche & family,82.0,France,Lyon,Accounting services,Finance & Investments,France,True,M,1940-07-18 00:00:00
1471,1434,2100000000,Theodore Leonsis,67.0,United States,Bethesda,Sports teams,Sports,United States,True,M,1956-01-08 00:00:00
1472,1434,2100000000,Lin Chang Su-O,82.0,Taiwan,Taipei,Real estate,Real Estate,Taiwan,False,F,1940-08-01 04:00:00
1473,1434,2100000000,Liu Chengyu & family,60.0,China,Shenzhen,Power supply equipment,Manufacturing,China,True,M,1962-07-26 00:00:00
1474,1434,2100000000,Sergey Lomakin,49.0,Cyprus,Paphos,Retail,Fashion & Retail,Russia,True,M,1973-05-23 00:00:00
1475,1434,2100000000,Daniel Lubetzky,54.0,United States,New York,Snack bars,Food & Beverage,United States,True,M,1968-09-28 00:00:00
1476,1434,2100000000,Melissa Ma,,China,Beijing,Internet search,Technology,China,True,F,
1477,1434,2100000000,Anand Mahindra,67.0,India,Mumbai,Diversified,Diversified,India,False,M,1955-05-01 00:00:00
1478,1434,2100000000,Rafique Malik,72.0,India,Mumbai,Footwear,Fashion & Retail,India,False,M,1950-10-31 00:00:00
1479,1434,2100000000,Katarina Martinson,41.0,Sweden,Stockholm,Investments,Diversified,Sweden,False,F,1981-05-04 00:00:00
1480,1434,2100000000,Kiran Mazumdar-Shaw,70.0,India,Bangalore,Biopharmaceuticals,Healthcare,India,True,F,1953-03-23 00:00:00
1481,1434,2100000000,Nirmal Minda,65.0,India,Gurgaon,Auto parts,Automotive,India,False,M,1957-11-07 00:00:00
1482,1434,2100000000,Mu Rongjun,43.0,China,Beijing,E-commerce,Technology,China,True,M,1980-01-01 00:00:00
1483,1434,2100000000,Eugene Murtagh,80.0,Ireland,Kingscourt,Building materials,Manufacturing,Ireland,True,M,1942-06-23 00:00:00
1484,1434,2100000000,Alexander Nesis,60.0,Russia,Moscow,"Metals, banking, fertilizers",Finance & Investments,Russia,True,M,1962-12-19 00:00:00
1485,1434,2100000000,Zugen Ni,66.0,China,Suzhou,Appliances,Manufacturing,China,True,M,1957-01-18 00:00:00
1486,1434,2100000000,Florentino Perez,76.0,Spain,Madrid,Construction,Construction & Engineering,Spain,True,M,1947-03-08 00:00:00
1487,1434,2100000000,Victor Pinchuk,62.0,Ukraine,Kiev,"Steel pipes, diversified",Metals & Mining,Ukraine,True,M,1960-12-14 00:00:00
1488,1434,2100000000,Leonid Radvinsky,40.0,United States,,E-commerce,Technology,United States,True,M,1982-05-30 00:00:00
1489,1434,2100000000,Raveendran Byju,41.0,India,Bangalore,Education technology,Technology,India,True,M,1981-07-06 00:00:00
1490,1434,2100000000,P.P. Reddy,65.0,India,Hyderabad,Infrastructure,Construction & Engineering,India,True,M,1957-08-30 00:00:00
1491,1434,2100000000,Richard Saghian,41.0,United States,Los Angeles,Fast fashion,Fashion & Retail,United States,True,M,1981-08-06 00:00:00
1492,1434,2100000000,Shi Yifeng,49.0,China,Beijing,Medical cosmetics,Healthcare,China,True,M,1974-01-01 00:00:00
1493,1434,2100000000,Thaksin Shinawatra,73.0,United Arab Emirates,Dubai,Investments,Finance & Investments,Thailand,True,M,1949-07-26 00:00:00
1494,1434,2100000000,Shu Ping,53.0,Singapore,Singapore,Restaurants,Food & Beverage,Singapore,True,F,
1495,1434,2100000000,Timothy Springer,75.0,United States,Chestnut Hill,Biotech,Healthcare,United States,True,M,1948-02-23 00:00:00
1496,1434,2100000000,Venu Srinivasan,70.0,India,Chennai,Two-wheelers,Automotive,India,False,M,1952-12-11 00:00:00
1497,1434,2100000000,Edward Stack,68.0,United States,Sewickley,Dick's Sporting Goods,Fashion & Retail,United States,True,M,1954-12-27 00:00:00
1498,1434,2100000000,Sun Mengquan & family,73.0,China,Yantai,Edible oil,Food & Beverage,China,True,M,1950-03-01 00:00:00
1499,1434,2100000000,Alexander Svetakov,55.0,Russia,Moscow,Real estate,Finance & Investments,Russia,True,M,1968-02-15 00:00:00
1500,1434,2100000000,Torsten Toeller,56.0,Germany,Krefeld,Pet food,Fashion & Retail,Germany,True,M,1966-04-06 00:00:00
1501,1434,2100000000,Barbara Tyson,74.0,United States,Fayetteville,Food processing,Food & Beverage,United States,False,F,1949-03-06 00:00:00
1502,1434,2100000000,Hamdi Ulukaya,50.0,United States,Norwich,Greek yogurt,Food & Beverage,Turkey,True,M,1972-10-26 00:00:00
1503,1434,2100000000,Wang Linpeng,54.0,China,Beijing,Furniture retailing,Construction & Engineering,China,True,M,1968-05-01 00:00:00
1504,1434,2100000000,Wei Ing-Chou,69.0,China,Tianjin,"Food, beverages",Food & Beverage,Taiwan,True,M,1953-07-01 00:00:00
1505,1434,2100000000,Wei Yin-Chun,66.0,Taiwan,Taipei,"Food, beverages",Food & Beverage,Taiwan,True,M,1957-03-08 00:00:00
1506,1434,2100000000,Wei Yin-Heng,64.0,China,Shanghai,"Food, beverages",Food & Beverage,Taiwan,True,M,1959-01-01 00:00:00
1507,1434,2100000000,Wei Ying-Chiao,68.0,Taiwan,Taipei,"Food, beverages",Food & Beverage,Taiwan,True,M,1955-02-04 00:00:00
1508,1434,2100000000,Elaine Wynn,80.0,United States,Las Vegas,"Casinos, hotels",Gambling & Casinos,United States,True,F,1942-04-28 00:00:00
1509,1434,2100000000,Xu Xudong & family,53.0,China,Ningbo,Auto parts,Automotive,China,True,M,1970-03-01 00:00:00
1510,1434,2100000000,Michael Ying,73.0,Hong Kong,Hong Kong,Retail,Fashion & Retail,Hong Kong,True,M,1949-12-01 00:00:00
1511,1434,2100000000,Yu Qibing & family,57.0,China,Ningbo,Glass,Manufacturing,China,True,M,1965-11-01 00:00:00
1512,1434,2100000000,Yuan Fugen & family,72.0,China,Suzhou,Metal processing,Manufacturing,China,True,M,1950-11-15 00:00:00
1513,1434,2100000000,Zhang Ning & family,49.0,China,Shanghai,Chemicals,Manufacturing,Canada,True,F,1974-04-01 00:00:00
1514,1434,2100000000,Zhao Tao,57.0,China,Xi'an,Pharmaceuticals,Healthcare,Singapore,False,M,1966-01-01 00:00:00
1515,1516,2000000000,Anu Aga,80.0,India,Pune,Engineering,Construction & Engineering,India,False,F,1942-08-01 00:00:00
1516,1516,2000000000,Mohamed Al Fayed,94.0,United Kingdom,London,"Retail, investments",Fashion & Retail,Egypt,True,M,1929-01-27 00:00:00
1517,1516,2000000000,Andrey Andreev,49.0,United Kingdom,London,Online dating,Technology,United Kingdom,True,M,1974-02-03 00:00:00
1518,1516,2000000000,Michael Ashcroft,77.0,Turks and Caicos Islands,Turks and Caicos Islands,Security,Finance & Investments,United Kingdom,True,M,1946-01-01 00:00:00
1519,1516,2000000000,Pavel Baudis,62.0,Czech Republic,Prague,Software,Technology,Czech Republic,True,M,1960-05-15 00:00:00
1520,1516,2000000000,Wilhelm Beier & family,66.0,Germany,,Pharmaceuticals,Healthcare,Germany,True,M,1956-04-21 00:00:00
1521,1516,2000000000,Cao Jianwei,44.0,China,Shangyu,Semiconductors,Manufacturing,China,True,M,1978-05-30 00:00:00
1522,1516,2000000000,Huwen Chen,52.0,China,Shanghai,Stationery,Manufacturing,China,True,M,1970-07-01 00:00:00
1523,1516,2000000000,Phongthep Chiaravanont,71.0,Thailand,Bangkok,Diversified,Diversified,Thailand,False,M,1952-01-01 00:00:00
1524,1516,2000000000,Dou Zhenggang,69.0,China,Hangzhou,"Energy, chemicals",Diversified,China,True,M,1953-05-21 00:00:00
1525,1516,2000000000,Maria Franca Fissolo,88.0,Monaco,Monaco,"Nutella, chocolates",Food & Beverage,Italy,False,F,1935-01-01 00:00:00
1526,1516,2000000000,William Franke,85.0,United States,Houston,Low-cost airlines,Diversified,United States,True,M,1937-04-15 00:00:00
1527,1516,2000000000,Mario Germano Giuliani,51.0,Monaco,Monaco,Pharmaceuticals,Healthcare,Switzerland,False,M,1972-02-26 00:00:00
1528,1516,2000000000,Amy Goldman Fowler,68.0,United States,Rhinebeck,Real estate,Real Estate,United States,False,F,1954-04-19 00:00:00
1529,1516,2000000000,John Hancock,47.0,United Kingdom,London,Mining,Metals & Mining,Australia,False,M,1976-01-02 00:00:00
1530,1516,2000000000,Hu Yangzhong,58.0,China,Hangzhou,Technology,Technology,China,True,M,1965-03-06 00:00:00
1531,1516,2000000000,Huang Dawen,62.0,Hong Kong,Hong Kong,Silicon,Manufacturing,Hong Kong,True,M,1960-11-01 00:00:00
1532,1516,2000000000,Huang Qiaoling,64.0,China,Hangzhou,Amusement parks,Media & Entertainment,China,True,M,1958-11-15 00:00:00
1533,1516,2000000000,Rajiv Jain,55.0,United States,Fort Lauderdale,Finance,Finance & Investments,United States,True,M,1968-01-27 00:00:00
1534,1516,2000000000,Michael Jordan,60.0,United States,Jupiter,"Charlotte Hornets, endorsements",Sports,United States,True,M,1963-02-17 00:00:00
1535,1516,2000000000,Diane Kemper,77.0,United States,New York,Real estate,Real Estate,United States,False,F,1945-07-21 00:00:00
1536,1516,2000000000,Shlomo Kramer,57.0,Israel,Tel Aviv,"Software, investments",Technology,Israel,True,M,1966-03-14 00:00:00
1537,1516,2000000000,Heikki Kyostila,77.0,Finland,Helsinki,Dental products,Healthcare,Finland,True,M,1946-01-19 00:00:00
1538,1516,2000000000,Martin Lau,50.0,Hong Kong,Hong Kong,E-commerce,Technology,Hong Kong,True,M,1973-04-01 00:00:00
1539,1516,2000000000,Li Min,57.0,China,Fuzhou,Semiconductor,Technology,China,True,M,1965-12-26 00:00:00
1540,1516,2000000000,Liang Rubo,40.0,China,Beijing,TikTok,Technology,China,True,M,1983-01-01 00:00:00
1541,1516,2000000000,Liang Zhaoxian,58.0,China,Foshan,Appliances,Manufacturing,China,False,M,1965-01-01 00:00:00
1542,1516,2000000000,Lin Fanlian,61.0,China,Linyi,"Energy, real estate",Energy,China,True,M,1961-06-01 00:00:00
1543,1516,2000000000,Aloke Lohia,64.0,Thailand,Bangkok,Petrochemicals,Manufacturing,India,False,M,1958-11-27 00:00:00
1544,1516,2000000000,Bill Malhotra,73.0,Canada,Ottawa,Real estate,Real Estate,Canada,True,M,1949-09-08 00:00:00
1545,1516,2000000000,Alexander Mamut,63.0,Israel,Tel Aviv,Investments,Finance & Investments,Russia,True,M,1960-01-29 00:00:00
1546,1516,2000000000,Craig McCaw,73.0,United States,Hunts Point,Telecom,Telecom,United States,False,M,1949-08-11 00:00:00
1547,1516,2000000000,Cunhui Nan,59.0,China,Wenzhou,Power equipment,Manufacturing,China,True,M,1963-07-09 00:00:00
1548,1516,2000000000,Tengyun Nie & family,47.0,China,Shanghai,Logistics,Service,China,True,M,1976-01-24 00:00:00
1549,1516,2000000000,Oei Hong Leong,75.0,Singapore,Singapore,Investments,Finance & Investments,Singapore,False,M,1948-03-21 00:00:00
1550,1516,2000000000,Clive Palmer,69.0,Australia,Brisbane,Mining,Metals & Mining,Australia,True,M,1954-03-26 00:00:00
1551,1516,2000000000,Matthew Prince,48.0,United States,Park City,Cybersecurity,Technology,United States,True,M,1975-01-01 00:00:00
1552,1516,2000000000,Linda Pritzker,69.0,United States,Missoula,"Hotels, investments",Service,United States,False,F,1953-09-14 00:00:00
1553,1516,2000000000,P.V. Krishna Reddy,53.0,India,Hyderabad,Infrastructure,Construction & Engineering,India,True,M,1969-06-30 00:00:00
1554,1516,2000000000,Bianca Rinehart,46.0,Australia,Brisbane,Mining,Metals & Mining,Australia,False,F,1977-03-19 00:00:00
1555,1516,2000000000,Ginia Rinehart,36.0,Australia,Sydney,Mining,Metals & Mining,Australia,False,F,1986-09-06 00:00:00
1556,1516,2000000000,T. Denny Sanford,87.0,United States,Sioux Falls,"Banking, credit cards",Finance & Investments,United States,True,M,1935-12-23 00:00:00
1557,1516,2000000000,Bhadresh Shah,71.0,India,Ahmedabad,Engineering,Manufacturing,India,True,M,1951-10-07 00:00:00
1558,1516,2000000000,Zygmunt Solorz-Zak,66.0,Poland,Warsaw,TV broadcasting,Media & Entertainment,Poland,True,M,1956-08-04 00:00:00
1559,1516,2000000000,Michal Strnad,30.0,,,Defense Contracting,Manufacturing,Czech Republic,False,M,1992-08-04 00:00:00
1560,1516,2000000000,Sylvia Stroeher,67.0,Germany,Darmstadt,Cosmetics,Fashion & Retail,Germany,False,F,1955-05-30 00:00:00
1561,1516,2000000000,Otto Toto Sugiri,69.0,Indonesia,Jakarta,Data centers,Technology,Indonesia,True,M,1953-09-23 00:00:00
1562,1516,2000000000,Larry Tanenbaum,77.0,Canada,Toronto,Sports,Sports,Canada,True,M,1945-07-01 00:00:00
1563,1516,2000000000,Wichai Thongtang,76.0,Thailand,Bangkok,Investments,Finance & Investments,Thailand,True,M,1947-01-01 00:00:00
1564,1516,2000000000,Ion Tiriac,83.0,Romania,Bucharest,"Banking, insurance",Finance & Investments,Romania,True,M,1939-05-09 00:00:00
1565,1516,2000000000,Hope Welker,37.0,United States,New York,Mining,Metals & Mining,Australia,False,F,1985-08-13 00:00:00
1566,1516,2000000000,William Young,82.0,United States,Ypsilanti,Plastics,Manufacturing,United States,True,M,1941-01-01 00:00:00
1567,1516,2000000000,Ales Zavoral,46.0,,,E-commerce,Fashion & Retail,Czech Republic,True,M,1976-10-24 00:00:00
1568,1516,2000000000,Zhang Fan,57.0,China,Shenzhen,Touch screens,Technology,China,True,M,1965-12-29 00:00:00
1569,1516,2000000000,Shilong Zhang & family,57.0,China,Beijing,Semiconductor,Technology,China,True,M,1966-01-01 00:00:00
1570,1516,2000000000,Zhang Wanzhen,73.0,China,Chaozhou,Electronics components,Manufacturing,China,True,M,1949-12-01 00:00:00
1571,1516,2000000000,Hongfei Zhao,48.0,China,Beijing,Software,Technology,China,True,M,1974-06-01 00:00:00
1572,1516,2000000000,Zhou Jian,46.0,China,Shenzhen,Solar energy equipment,Energy,China,True,M,1976-07-01 00:00:00
1573,1516,2000000000,Zhu Yiwen & family,59.0,China,Shanghai,Healthcare,Healthcare,China,True,M,1964-01-01 00:00:00
1574,1575,1900000000,Roberto Angelini Rossi,74.0,Chile,Santiago,"Forestry, mining",Diversified,Chile,False,M,1948-07-30 00:00:00
1575,1575,1900000000,Mika Anttonen,56.0,Finland,Helsinki,Oil & gas,Energy,Finland,True,M,1966-12-18 00:00:00
1576,1575,1900000000,David Blitzer,53.0,United States,New York,Sports,Sports,United States,True,M,1969-09-07 00:00:00
1577,1575,1900000000,Julio Bozano,87.0,Brazil,Rio de Janeiro,Banking,Finance & Investments,Brazil,True,M,1936-02-01 00:00:00
1578,1575,1900000000,Nikolai Buinov,55.0,Russia,Irkutsk,"Oil, gas",Energy,Russia,True,M,1967-07-09 00:00:00
1579,1575,1900000000,Nicola Bulgari,82.0,Italy,Rome,Luxury goods,Fashion & Retail,Italy,False,M,1941-01-16 00:00:00
1580,1575,1900000000,"Howard Butt, III. & family",71.0,United States,San Antonio,Supermarkets,Fashion & Retail,United States,False,M,1952-04-04 00:00:00
1581,1575,1900000000,Stephen Butt & family,67.0,,,Supermarkets,Fashion & Retail,United States,False,M,1955-05-24 00:00:00
1582,1575,1900000000,Jianxing Che,56.0,China,Shanghai,Furniture retailing,Fashion & Retail,China,True,M,1966-07-18 00:00:00
1583,1575,1900000000,Huxiong Chen,52.0,China,Shanghai,Stationery,Manufacturing,China,True,M,1970-07-01 00:00:00
1584,1575,1900000000,Chen Qiongxiang,,China,Ningde,Batteries,Energy,China,True,F,
1585,1575,1900000000,Chen Zhisong,57.0,China,Xiamen,Communication equipment,Technology,China,True,M,1966-01-07 00:00:00
1586,1575,1900000000,Manas Chiaravanond,,Thailand,Bangkok,Diversified,Diversified,Thailand,False,M,
1587,1575,1900000000,Prathip Chiravanond,74.0,Thailand,Bangkok,Diversified,Diversified,Thailand,False,M,1948-10-21 00:00:00
1588,1575,1900000000,Alexandra Daitch,60.0,United States,Old Lyme,Cargill,Food & Beverage,United States,False,F,1963-01-01 00:00:00
1589,1575,1900000000,Sol Daurella,57.0,Spain,Madrid,Coca-Cola bottler,Food & Beverage,Spain,False,F,1966-01-01 00:00:00
1590,1575,1900000000,Mark Davis,67.0,United States,Henderson,Las Vegas Raiders,Sports,United States,False,M,1955-05-18 00:00:00
1591,1575,1900000000,James Dinan,63.0,United States,North Salem,Hedge funds,Finance & Investments,United States,True,M,1959-05-22 00:00:00
1592,1575,1900000000,Dong Fan,53.0,China,Zhuhai,Medical devices,Healthcare,China,True,M,
1593,1575,1900000000,Fritz Draexlmaier,,Germany,Landshut,Auto parts,Automotive,Germany,False,M,
1594,1575,1900000000,Bulent Eczacibasi,73.0,Turkey,Istanbul,"Pharmaceuticals, diversified",Diversified,Turkey,False,M,1949-12-25 00:00:00
1595,1575,1900000000,Faruk Eczacibasi,68.0,Turkey,Istanbul,"Pharmaceuticals, diversified",Diversified,Turkey,False,M,1954-06-15 00:00:00
1596,1575,1900000000,Eduardo Eurnekian,90.0,Argentina,Buenos Aires,"Airports, investments",Diversified,Argentina,True,M,1932-12-04 00:00:00
1597,1575,1900000000,David Fong,65.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,False,M,1957-05-29 00:00:00
1598,1575,1900000000,Guo Zhenyu & family,59.0,China,Kunming,Cosmetics,Fashion & Retail,Canada,True,M,1963-11-01 00:00:00
1599,1575,1900000000,Surjit Kumar Gupta,81.0,India,Delhi,Electrical equipment,Manufacturing,India,False,M,1942-01-13 00:00:00
1600,1575,1900000000,Caroline Hagen Kjos,39.0,Switzerland,Wollerau,Conglomerate,Diversified,Norway,False,F,1984-01-01 00:00:00
1601,1575,1900000000,Roberto Hernandez Ramirez,81.0,Mexico,Mexico City,"Banking, investments",Finance & Investments,Mexico,True,M,1942-03-24 00:00:00
1602,1575,1900000000,Reid Hoffman,55.0,United States,Palo Alto,LinkedIn,Technology,United States,True,M,1967-08-05 00:00:00
1603,1575,1900000000,Hu Rongda & family,64.0,China,Jinhua,Chemicals,Manufacturing,China,True,M,1959-01-01 00:00:00
1604,1575,1900000000,"B. Wayne Hughes, Jr.",63.0,United States,Jackson,Storage facilities,Real Estate,United States,False,M,1959-05-27 00:00:00
1605,1575,1900000000,Hui Wing Mau,72.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,True,M,1950-07-01 00:00:00
1606,1575,1900000000,Scott Kapnick,64.0,United States,Naples,Private equity,Finance & Investments,United States,True,M,1959-02-09 00:00:00
1607,1575,1900000000,Richard Kayne,77.0,United States,Santa Monica,Investments,Finance & Investments,United States,True,M,1946-01-01 00:00:00
1608,1575,1900000000,Dominika Kulczyk,45.0,United Kingdom,London,Diversified,Finance & Investments,Poland,False,F,1977-07-30 00:00:00
1609,1575,1900000000,Edward Lampert,60.0,United States,Miami Beach,Sears,Finance & Investments,United States,True,M,1962-07-19 00:00:00
1610,1575,1900000000,Somsri Lamsam,,Thailand,Bangkok,Diversified,Diversified,Thailand,False,M,
1611,1575,1900000000,James Leprino,85.0,United States,Indian Hills,Cheese,Food & Beverage,United States,False,M,1937-11-22 00:00:00
